,English,Arabic,Russian,Spanish,WikiData_id,Entity_name,Occupation_name,Perceived_gender,url
135,"Peel refused to govern under the restrictions imposed by the Queen, and consequently resigned his commission, allowing Melbourne to return to office.",رفض بيل أن يتولى الحكومة تحت القيود التي وضعتها الملكة وتبعاً لذلك استقال ومنح الفرصة لميلبرون كي يعود إلى مكتبه.,"Пиль отказался действовать с ограничениями, налагаемыми королевой, и, следовательно, подал в отставку, позволив Мельбурну вернуться на свою должность.","Peel sentía que no podía gobernar bajo las restricciones impuestas por la reina y finalmente renunció al cargo de primer ministro, dejándole el camino libre a Melbourne para retornar al poder.​",Q9439,Queen Victoria,['monarch'],female,https://en.wikipedia.org/wiki/Queen_Victoria
136,"Between April 1877 and February 1878, she threatened five times to abdicate while pressuring Disraeli to act against Russia during the Russo-Turkish War, but her threats had no impact on the events or their conclusion with the Congress of Berlin.",وفي الفترة التي تتراوح بين أبريل 1877 وفبراير 1878، استخدمت فيكتوريا التهديد بالتنازل عن العرش خمس مرات كوسيلة للضغط على دزرائيلي لإجباره على التخلي عن روسيا في حربها ضد تركيا، ولكن هذه التهديدات لم تجنِ ثمارها؛ فلم تؤثر على النتيجة التي انتهت إليها الأحداث مع كونغرس برلين.,"Между апрелем 1877 и февралём 1878 года она пять раз угрожала отречься от престола, пытаясь надавить на Дизраэли, чтобы тот действовал против России в Русско-турецкой войне, но её угрозы не повлияли ни на события, ни на их итоги после Берлинского конгресса.","Entre abril de 1877 y febrero de 1878, amenazó con abdicar del trono cinco veces para presionar a Disraeli a condenar al Imperio ruso por sus acciones en la guerra ruso-turca, pero sus amenazas no tuvieron ningún impacto ni acabaron con el Congreso de Berlín.​",Q9439,Queen Victoria,['monarch'],female,https://en.wikipedia.org/wiki/Queen_Victoria
137,Jean also had two illegitimate sons  :,جان أيضا كان لديه ولدان غير شرعيين:,Кроме законных детей Жан имел двух внебрачных сыновей :,Juan tuvo dos hijos ilegítimos:,Q556917,John VIII,['monarch'],male,"https://en.wikipedia.org/wiki/John_VIII,_Count_of_Vend%C3%B4me"
138,He died on 30 January 970.,توفي في 30 يناير 970.,Он умер 30 января 970.,Murió el 30 de enero de 970.,Q334283,Peter I of Bulgaria,['monarch'],male,https://en.wikipedia.org/wiki/Peter_I_of_Bulgaria
139,Peter I   was emperor  of Bulgaria from 27 May 927 to 969.,بيتر الأول هو إمبراطور بلغاريا منذ 27 مايو 927 وحتى عام 969.,Пётр I  — царь Болгарии с 27 мая 927 по 969 год.,Pedro I fue zar de Bulgaria desde 927 hasta 970.,Q334283,Peter I of Bulgaria,['monarch'],male,https://en.wikipedia.org/wiki/Peter_I_of_Bulgaria
140,"As a Mahayana Buddhist, his declared aim was to alleviate the suffering of his people.",وكان هدفه المُعلن كبوذي من طائفة ماهايانا هو التخفيف من معاناة شعبه.,"Будучи приверженцем буддизма махаяны, он провозгласил своей целью облегчить страдания своего народа.","Como budista Mahāyāna, su objetivo declarado era aliviar el sufrimiento de su pueblo.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
141,"An inscription indicates that this massive temple at one time had 80,000 people assigned to its upkeep, including 18 high priests and 615 female dancers.","ويُشير نقش حجري إلى أن ذلك المعبد العظيم تكلّف للإبقاء على حالته 80,000 شخصًا من بينهم ثمانية عشر كاهنًا أكبر و615 راقصة.","Одна из надписей говорит, что 80,000 человек обслуживали храм, среди них 18 верховных жрецов и 615 танцовщиц.","En la inscripción se indica que ese templo tuvo en un momento a 80,000 personas asignadas a su mantenimiento, incluyendo 18 sumos sacerdotes y 615 bailarinas.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
142,"These reliefs show camp followers on the move with animals and oxcarts, hunters, women cooking, female traders selling to Chinese merchants, and celebrations of common foot soldiers.",وتعرض هذه النقوش تخييم التابعين والحركة مع الحيوانات وعربات تجرها الثيران وتعرض صيادين ونساء يطبخن وأخريات تاجرات يبعن للتجار الصينيين، كما تُظهر الاستعراضات التي كان يقوم بها الجنود المشاة.,"Эти барельефы изображают людей, идущих за армией с животными и повозками, охотников, женщин, готовящих еду, торговок, продающих что-то китайским купцам, и празднества рядовых солдат.","Estos relieves muestran a los seguidores del campamento en movimiento con animales y carretas de bueyes, cazadores, mujeres que cocinan, mujeres comerciantes que venden a comerciantes chinos y celebraciones de soldados.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
143,Its outer walls have startling bas reliefs not only of warfare but the everyday life of the Khmer army and its followers.,ويظهر على الحائط الخارجي للمعبد نحت غائر مدهش لا يعكس حرب الجيش الخميري فحسب، بل ويعكس الحياة اليومية له ولتابعيه.,"На внешних стенах барельефы, на которых изображены не только битвы, но также и повседневная жизнь кхмерской армии и её обоза.","Sus muros exteriores tienen asombrosos bajorrelieves no solo de la guerra, sino de la vida cotidiana del ejército Jemer y sus seguidores.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
144,"Finally, he constructed his own ""temple-mountain"" at Bayon and developed the city of Angkor Thom around it.","وأخيرًا بنى لنفسه ""معبد الجبل"" في بايون وقام بتنمية مدينة أنغكور توم التي تحيط به.","И, наконец, он построил собственный храм-гору Байон и город Ангкор-Тхом вокруг него.","Finalmente, construyó su propio templo en la montaña en Bayon y estableció la ciudad de Angkor Thom a su alrededor.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
145,"The reliefs also depict a naval battle on the great lake, the Tonle Sap.",وتُصور النقوش معركة بحرية على البحيرة العظيمة تونلي ساب.,Также есть изображения битвы на Великом озере Тонлесап.,Los relieves también representan la batalla naval en el gran lago Tonle Sap.,Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
146,"At the centre of the new city stands one of his most massive achievements—the temple now called the Bayon, a multi-faceted, multi-towered temple that mixes Buddhist and Hindu iconography.",وتقف في مركز المدينة الجديدة أحد أعظم إنجازاته وهو المعبد الذي يُطلق عليه الآن اسم بايون، وهو معبد متعدد الأوجه و متعدد الأبراج يمزج بين صور مقدسة من الهندوسية والبوذية.,"В центре нового города стоит одно из его самых выдающихся достижений — храм, который теперь называется Байон, многоликий храм с множеством башен, совмещающий в себе иконографию буддизма и индуизма.","En el centro de la ciudad está uno de sus mayores logros, el templo, ahora llamado, Bayón, un tempo multifacético, con múltiples torres en las que se mezclan iconografías Budistas e Hinduistas.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
147,He put an end to the disputes between warring factions and in 1181 was crowned king himself.,فأنهى النزاعات بين الفصائل المتناحرة ثم تُوّج ملكًا في عام 1181.,Он положил конец спорам враждующих фракций и в 1181 году короновался.,"Logró poner fin a las disputas internas entre las facciones guerreras y en el año 1181, él mismo se coronó rey.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
148,"Thereafter, he built a pair of temples in honor of his parents: Ta Prohm in honor of his mother and Preah Khan in honor of his father.",ثم بنى معبدين لتكريم والديه: أحدهما لأمه وهو معبد تا بروهم والآخر بريه خان تشريفًا لأبيه.,После этого он построил пару храмов в память о своих родителях — Та Пром в честь своей матери и Преах Кхан в честь отца.,"Luego, construyó dos templos en honor a sus padres: el de Ta Prohm, en honor a su madre, y el de Preah Khan, en honor a su padre.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
149,"He also built Neak Pean, one of the smallest but most beautiful temples in the Angkor complex, a fountain with four surrounding ponds set on an island in that artificial lake.",كما بنى معبد نيك بين وهو أحد أصغر المعابد ولكن أكثرها روعة بين مباني أنغكور، وفسقية مُحاطة بأربع بِركاتٍ على جزيرة مُنشأة على تلك البحيرة الصناعية.,"Он также построил Неакпеан , один из самых маленьких и живописных храмов в комплексе Ангкора — фонтан на острове посреди искусственного озера, окруженного четырьмя прудами.","También construyó el Prasat Neak Pean, uno de los templos más pequeños pero más hermosos del complejo Angkor, una fuente con cuatro estanques circundantes en una isla en ese lago artificial.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
150,"In one phase, he focused on useful constructions, such as his famous 102 hospitals,: 127  rest houses along the roads, and reservoirs.",ففي المرحلة الأولى اهتم ببناء المنشآت النافعة، مثل 102 مستشفي و 127 استراحة ممتدة على الطرق والخزانات.,"На первом этапе он концентрировался на строительстве общественных объектов, таких как его знаменитые 102 больницы, 127 домов отдыха вдоль дорог и резервуары для воды.","En una de sus etapas, se centró en las construcciones más importantes, tales como sus famosos 102 hospitales, casas para descansar a lo largo de las rutas y reservas.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
151,"He was greatly helped by the military skill of refugee Prince Sri Vidyanandana, who also played a part in the subsequent sacking and conquest of Champa .","وقد ساعدته كثيرًا المهارات العسكرية التي تمتع بها الأمير اللاجئ ""سري فيدياناندا""، والذي لَعِب دورًا في سلب وغزو التشامبا لاحقًا في الفترة .","Ему помог своими военными навыками беглый принц Шри Видъянанда, который затем сыграл важную роль в разрушении и завоевании Тьямпы .","Fue ayudado por la habilidad militar del príncipe refugiado Sri Vidyanandana, quien también participó en la posterior conquista y saqueo de Champa .",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
152,He was the son of King Dharanindravarman II  and Queen Sri Jayarajacudamani.,وكان ابن الملك دهارانيندرافارمان الثاني والملكة سري جياراجاكوداماني .,Сын короля Дхараниндравармана II и королевы Джаяраджакудамани.,El era el hijo del rey Dharanindravarman II  y la reina Sri Jayarajacudamani.,Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
153,"Early in his reign, he probably repelled another Cham attack and quelled a rebellion of the vassal Kingdom of Malyang .",وفي بداية حكمه قَمع هجومًا آخر قام به التشام كما أخمد ثورة مملكة ماليانغ التابعة .,"В ранние годы своего правления он, вероятно, отразил ещё одну атаку чамов и подавил восстание в королевстве-вассале Мальянг .","Al comienzo de su reinado, detuvo otro ataque de los Champa y frenó una rebelión del reino vasallo de Malyang .",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
154,"He married Princess Jayarajadevi and then, after her death, married her sister Indradevi.",تزوج الملك جيافارمان من اﻷميرة جياراجاديفي ثم تزوج من أختها إندراديفي بعد موتها.,После смерти своей первой супруги — Джаяраджадеви — женился на её сестре Индрадеви.,"Se casó con la princesa Jayarajadevi y, después de la muerte de ella, se casó con la hermana de su difunta esposa, Indradevi.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
155,"Over the 37 years of his reign, Jayavarman embarked on a grand program of construction that included both public works and monuments.",تولّى جيافارمان، على مدى سنوات حكمه التي وصلت إلى سبعة وثلاثين عامًا، برنامجًا ضخمًا للتعمير تضمن كلاً من الأعمال العامة والآثار.,Во время своего 37-летнего правления Джайаварман VII осуществлял грандиозную программу строительства общественных зданий и храмов.,"Durante los 37 años de su reinado, Jayavarman se embarcó en un gran proyecto constructivo, que incluyó tanto obras públicas como monumentos.",Q335273,Jayavarman VII,['monarch'],male,https://en.wikipedia.org/wiki/Jayavarman_VII
156,Yvonne Maria Therèse van Gennip  is one of the most successful female Dutch all-round speed skaters.,إيفون فان غينيب هي واحدة من أنجح اللاعبات الأولمبيات لرياضة تزلج سريع من هولندا.,Иво́нн Мария Терезе ван Ге́ннип  — одна из наиболее успешных нидерландских конькобежек.,Yvonne Maria Therèse van Gennip es una de las patinadoras holandesas de velocidad sobre hielo más exitosas.,Q235341,Yvonne van Gennip,['speed skater'],female,https://en.wikipedia.org/wiki/Yvonne_van_Gennip
157,Sergey Sergeyevich Trofimov  is a Russian speed skater.,سيرجي تروفيموف ‏هو متزلج سريع روسي.,Сергей Сергеевич Трофимов  — российский конькобежец.,Serguéi Serguéyevich Trofímov es patinador ruso de velocidad sobre hielo.​,Q49707653,Sergey Trofimov,['speed skater'],male,https://en.wikipedia.org/wiki/Sergey_Trofimov
158,"She first married, in 1274, Humphrey de Montfort, lord of Tyre .",تزوجت لأول مرة عام 1274 همفري دي مونتفورت قائد صور .,В 1274 году она вышла замуж за сеньора Тира Онфруа де Монфора .,"Se casó por primera vez, en 1274, con Hunfredo de Montfort, señor de Tiro.",Q3047004,Eschive d'Ibelin,['feudatory'],female,https://en.wikipedia.org/wiki/Eschiva_of_Beirut
159,"In 1219 he married Philippa de Dreux , the daughter of Robert II of Dreux.",في 1219 تزوج من فيليبا دي درو أبنة روبرت الثاني، كونت درو.,"В 1210 он женился на Филиппе де Дрё, дочери Роберта II, графа де Дрё.","En 1219 se casó con Philippa de Dreux ,la hija de Robert II de Dreux.",Q573433,"Henry II, Count of Bar",['feudatory'],male,"https://en.wikipedia.org/wiki/Henry_II,_Count_of_Bar"
160,However every Palaiologos emperor to the Fall of Constantinople in 1453 descended from her through her son Michael.,ومع هذا فإن جميع الاباطرة البيزنطيين وحتى سقوط القسطنطينية عام 1453 هم ذريتها من ابنها ميخائيل.,Все императоры из династии Палеологов до падения Константинополя в 1453 году — её прямые потомки по линии Михаила.,"Sin embargo, todos los emperadores de Palaiologos hasta la caída de Constantinopla en 1453 descendieron de ella a través de su hijo Michael.",Q2774126,Anna of Hungary,['sovereign'],female,https://en.wikipedia.org/wiki/Anna_of_Hungary_(Byzantine_empress)
161,"Bertha of Savoy was a daughter of Count Otto I of Savoy  and his wife Adelaide of Susa  from the Arduinici noble family, and as such a member of the Burgundian House of Savoy.",بيرثا من سافوي هي أبنة أوتو الأول، كونت سافوي وأديلايد من سوزا، من العائلة النبيلة أردوينيسي، وبالتالي كانت عضوًا في منزل بورغونديان في سافوي.,"Берта Савойская была дочерью графа Савойи Оттона и его жены, Аделаиды Сузской из аристократического рода Ардуиничи, и тем самым входила в Бургундскую ветвь Савойского дома.","Berta de Saboya era hija de Otón I de Saboya  y de Adelaida de Susa de la familia noble Arduinici, y como tal miembro de la Casa Borgoña de Saboya.",Q237709,Bertha of Savoy,['sovereign'],female,https://en.wikipedia.org/wiki/Bertha_of_Savoy
162,"Upon her death, she was buried in a tomb in the grounds of Medinet Habu.",عند وفاتها، دفنت في قبر في مدينة هابو .,После своей смерти она была похоронена в гробнице на территории Мединет-Абу.,"A su muerte, fue enterrada en una tumba en el recinto de Medinet Habu.",Q270393,Amenirdis I,['sovereign'],female,https://en.wikipedia.org/wiki/Amenirdis_I
163,"She ruled as high priestess approximately between 714 and 700 BCE, under the reigns of Shabaka and Shabataka, and she adopted Piye's daughter Shepenupet II as her successor.",حكمت ككاهنة عليا تقريبًا بين 700و 714 قبل الميلاد ، في عهد شباكا و شبتكو ، وتبنت ابنة بغنخي شيبنوبيت الثانية كخليفة لها.,"Она правила в качестве верховной жрицы приблизительно с 714 по 700 год до н. э., во времена правления Шабаки и Шабатаки, и она удочерила дочь Пианхи Шепенупет II в качестве своей преемницы.","Amenardis gobernó como gran sacerdotisa aproximadamente entre el 714 y el 700 a. C., bajo el reinado de Shabaka y Shabataka, y adoptó a la hija de Piye, Shepenupet II como su sucesora.",Q270393,Amenirdis I,['sovereign'],female,https://en.wikipedia.org/wiki/Amenirdis_I
164,"She was well known for her beauty, piety, wisdom, and justice.",قد عرفت هيلينا بالجمال والتقوي والحكمة والعدالة.,"Она была известна своей красотой, религиозностью, мудростью и справедливостью.","Era muy conocida por su belleza, piedad, sabiduría y justicia.",Q272418,Helena Dragaš,['sovereign'],female,https://en.wikipedia.org/wiki/Helena_Draga%C5%A1
165,"She is venerated by the Orthodox Church as a saint, and her memory is commemorated on 29 May, the day of the Fall of Constantinople to the Ottomans and of the death of her son Constantine XI.",كما اعلنتها الكنيسة الأرثوذكسية اليونانية قسيسة، ويتم إحياء ذكراها في 29 مايو، وذلك يوم وفاة ابنها قسطنطين الحادى عشر ويوم فتح إسطنبول علي يد العثمانيين.,"Святая православной церкви, память совершается 29 мая, в день падения Константинополя от рук оттоманов и смерти ее сына Костантина XI.","Ella es venerada por la Iglesia Ortodoxa como una santa, y su memoria se conmemora el 29 de mayo, el día de la caída de Constantinopla por los otomanos y la muerte de su hijo Constantino XI Paleólogo.",Q272418,Helena Dragaš,['sovereign'],female,https://en.wikipedia.org/wiki/Helena_Draga%C5%A1
166,Several pieces of the treasure were looted from the National Museum in the aftermath of the Second Gulf War in 2003.,ونهبت العديد من القطع من المتحف الوطني في أعقاب حرب الخليج الثانية في عام 2003.,Некоторые из последних музейных предметов были похищены из Национального музея в период после Иракской войны 2003 года.,Varias piezas fueron saqueadas del Museo Nacional por las secuelas de la Segunda Guerra del Golfo en 2003.,Q258078,Puabi,['sovereign'],female,https://en.wikipedia.org/wiki/Puabi
167,"The number of grave goods that Woolley uncovered in Puabi's tomb was staggering, and included a magnificent, heavy, golden headdress made of golden leaves, rings and plates; a superb lyre , complete with the golden and lapis lazuli-encrusted bearded bull's head; a profusion of gold tableware; golden, carnelian and lapis lazuli cylindrical beads for extravagant necklaces and belts; a chariot adorned with lionesses' heads in silver, and an abundance of silver, lapis lazuli, and golden rings and bracelets, as well as her headdress, a belt made of gold rings, carnelian and lapis beads, and other various rings and earrings.",كانت كمية الآثار التي اكتشفت في قبر بوابي كبيرة ومذهلة منها غطاء رأس ذهبي رائع وثقيل مصنوع من أوراق، وخواتم، وألواح ذهبية؛ وقيثارة رائعة المكتملة برأس الثور المرصع بالذهب واللازورد، وفرة من أدوات المائدة الذهبية؛ وحبات أسطوانية من الذهب والعقيق واللازورد للقلائد والأحزمة الفاخر، والعقيق الأحمر، واللازورد وحبات أسطوانية من الذهب والعقيق واللازورد للقلائد والأحزمة الفاخرة؛ عربة مزينة برؤوس لبؤات من الفضة، ووفرة من الفضة واللازورد، وخواتم وأساور ذهبية، بالإضافة إلى غطاء رأسها، وحزام من خواتم ذهبية، وخرز العقيق واللازورد، وخواتم وأقراط أخرى مختلفة.,"Среди большого количества обнаруженных в гробнице Пуаби артефактов были тяжёлый головной убор, состоящий из золотых листьев, колец и пластин, первая в мире арфа, инкрустированные золотом и ляпис-лазурью фигуры в виде голов крылатых быков , большое количество золотой посуды, золотые, карнеоловые и лазуритовые бусы для ожерелий и поясов, колесница, украшенная статуэткой в виде львиной головы, большое количество серебряных, лазуритовых и золотых колец и браслетов, а также диадема, пояс из золотых колец, карнеоловых и лазуритовых бусин, и прочие кольца и сережки.","La cantidad de ajuar funerario que Woolley descubrió en la tumba de Puabi fue asombrosa: un magnífico y pesado tocado dorado hecho con hojas de oro, anillos y placas; una magnífica lira , con oro y lapislázuli incrustado con cabezas barbudas de toros; varias vajillas de oro; cuentas cilíndricas de oro, cornalina, y lapislázuli para  collares y cinturones; una carroza adornada con cabezas de leona en plata, y una gran cantidad de anillos y brazaletes de plata, lapislázuli y oro. Así como su tocado, un cinturón hecho de anillos de oro, cornalina y cuentas de lapislázuli, y otros anillos y aretes.",Q258078,Puabi,['sovereign'],female,https://en.wikipedia.org/wiki/Puabi
168,"The excavated finds from Woolley's expedition were divided among the British Museum in London, the University of Pennsylvania Museum in Philadelphia, Pennsylvania and the National Museum in Baghdad.",وتم تقسيم الكنوز المستخرجة بين البعثة وبين المتحف البريطاني في لندن، ومتحف جامعة بنسلفانيا في فيلادلفيا، بنسيلفانيا في الولايات المتحدة، والمتحف الوطني في بغداد .,"Артефакты, найденные экспедицией Вулли, были разделены между коллекциями Британского музея в Лондоне, музея Пенсильванского университета в Филадельфии и Национального музея в Багдаде.","Los tesoros excavados por la expedición de Woolley se dividieron entre el Museo Británico en Londres, el Museo de la Universidad de Pensilvania en Filadelfia y el Museo Nacional de Irak en Bagdad.",Q258078,Puabi,['sovereign'],female,https://en.wikipedia.org/wiki/Puabi
169,"She was the first to take on complete royal titulary with names in two cartouches , and although her successors followed her example, she remained the only one who also bore the royal titles “Lord of the Two Lands” and “Lord of Appearances”, also, the only one whose throne name refers to Amun, not to his wife Mut.","كانت ايضا أول من أخذ لقبًا ملكيًا كاملًا بأسماء في خرطوشتين، وعلى الرغم من أن خلفائها اتبعوا نهجها، إلا أنها بقيت الوحيدة التي حملت أيضًا الألقاب الملكية ""ملك الأرضين"" و ""ملك المظاهر""، أيضًا، الوحيدة التي يشير عرشها إلى آمون، وليس لزوجته موت .","Она была первой, кто принял полный царский титул с именами в двух картушах , и хотя её преемницы последовали её примеру, она осталась единственной, кто также носил царские титулы «владычицы двух земель» и «владычицы явлений», а также единственной, чей преномен относился к Амону, а не к его супруге Мут.","Ella fue la primera en asumir la titulatura real completa con sus nombres en dos cartuchos , y aunque sus sucesoras siguieron su ejemplo, ella fue la única que también llevaba los títulos reales de ""Señor de las Dos Tierras"" y ""Señor de las Apariciones"", y también, la única cuyo nombre de trono hace referencia a Amón y no a su esposa Mut.​",Q299607,Shepenupet I,['sovereign'],female,https://en.wikipedia.org/wiki/Shepenupet_I
170,"He was a son of duke Frederick and his wife Maddalena Visconti, a daughter of Bernabò Visconti.",هو ابن الدوق فريديريك وزوجته مادالينا فيسكونتي ابنة برنابو فيسكونتي,Генрих был сыном баварско-ландсхутского герцога Фридриха и Маддалены Висконти.,"Era hijo del duque Federico y su esposa Maddalena Visconti, una hija de Bernabò Visconti.",Q62216,"Henry XVI, Duke of Bavaria",['sovereign'],male,"https://en.wikipedia.org/wiki/Henry_XVI,_Duke_of_Bavaria"
171,Enlil-nasir I was the king of Assyria from 1479 BC to 1466 BC.,انليل ناصر الأول كان ملك آشور من 1479 قبل الميلاد حتى 1466 قبل الميلاد.,Эллиль-нацир I  — правитель города Ашшура приблизительно в 1497—1484 годах до н. э.,Enlil-nasir I fue el rey de Asiria desde 1479 a. C. hasta 1466 a. C.,Q721199,Enlil-nasir I,['sovereign'],male,https://en.wikipedia.org/wiki/Enlil-nasir_I
172,Merenhor may have been an Eighth Dynasty king of ancient Egypt during the First Intermediate Period.,مرن حور، ‏، يحتمل أنه كان ملكا في الأسرة المصرية الثامنة لمصر القديمة خلال الفترة الانتقالية الأولى.,"Меренхор — фараон Древнего Египта из VIII династии, правивший в XXII веке до н. э.",Merenhor pudo haber sido el rey de la octava Dinastía VIII del antiguo Egipto durante el primer periodo intermedio.,Q550738,Merenhor,['sovereign'],male,https://en.wikipedia.org/wiki/Merenhor
173,His name is only attested on the Abydos King List .,تم إثبات اسمه فقط في قائمة ملوك أبيدوس.,Его имя известно только из Абидосского списка.,Su nombre solo se encuentra en la lista de reyes de Abydos.,Q550738,Merenhor,['sovereign'],male,https://en.wikipedia.org/wiki/Merenhor
174,He was said to be lecherous and he was assassinated after a reign of just six months in 653 by the husband of one of his lovers.,قيل أنه كان فاسقًا واغتيل بعد ستة أشهر فقط في 653 من قبل زوج إحدى عشيقاته.,Он имел репутацию распутника и в 653 году он был убит мужем одной из его любовниц после всего лишь шестимесячного правления.,"Se dijo que era lujurioso y que fue asesinado después de un reinado de tan solo seis meses, en el año 653, por el marido de una de sus amantes.",Q315269,Rodoald,['sovereign'],male,https://en.wikipedia.org/wiki/Rodoald
175,"Aripert, a rival claimant, was elected with the support of the Catholic Church, which opposed the Arian monarchy.",انتخب أريبرت، وهو مطالب منافس على العرش، بدعم من الكنيسة الكاثوليكية التي عارضت النظام الملكي الآريوسي.,"При поддержке католической церкви, которая выступала против Арийской монархии, престол занял Ариперт I, его соперник.","Ariberto I, un aspirante rival fue elegido con el apoyo de la Iglesia católica, la cual se oponía a la monarquía arriana.​",Q315269,Rodoald,['sovereign'],male,https://en.wikipedia.org/wiki/Rodoald
176,Ashur-rabi I was the King of Assyria from 1453 BC to 1435 BC.,آشور رابي الأول كان ملك آشور من 1453 قبل الميلاد حتى 1435 قبل الميلاد.,Ашшур-раби I — правитель города Ашшура приблизительно в 1472—1452 годах до н. э.,Assur-rabi I fue el rey de Asiria desde 1453 a. C. hasta 1435 a. C.,Q794893,Ashur-rabi I,['sovereign'],male,https://en.wikipedia.org/wiki/Ashur-rabi_I
177,"The son of the former king Enlil-nasir I seized the throne after a successful coup against Ashur-shaduni, who had been the king for only one month.",استولى نجل الملك السابق إنليل نصير الأول على الحكم بعد انقلاب قام به على آشور شادوني، الذي كان ملكًا لمدة شهر واحد فقط.,"Сын бывшего царя Эллиль-нацира I занял престол, успешно свергнув своего племянника Ашшур-шадуни, пробывшего на престоле всего один месяц.","El hijo del ex rey Enlil-nasir I tomó el trono tras un golpe exitoso contra Ashur-shaduni, quien había sido rey durante solo un mes.",Q794893,Ashur-rabi I,['sovereign'],male,https://en.wikipedia.org/wiki/Ashur-rabi_I
178,They persisted with the siege despite the severe winter with 100 days of snowfall.,استمروا في الحصار على الرغم من الشتاء القارس وتساقط الثلوج لمدة 100 يوم.,"Они продолжили осаду несмотря на суровую зиму, когда целых 100 дней земля была покрыта снегом.",Los árabes persistieron con el asedio a pesar del severo invierno con 100 días de nevadas.,Q311506,Tervel of Bulgaria,['sovereign'],male,https://en.wikipedia.org/wiki/Tervel_of_Bulgaria
179,In the meantime Leo III sent a letter to Tervel in which he urged him to respect the treaty and to prefer peace to war.,في غضون ذلك، أرسل ليو الثالث رسالة إلى تيرفيل حثه فيها على احترام المعاهدة وتفضيل السلام على الحرب.,"Тем временем Лев III отправил письмо хану Тервелу, в котором заклинал его соблюдать мирный договор и выбрать мир, а не войну.",Mientras tanto León III envió una carta a Tervel en la que le pidió respetar el tratado y preferir la paz a la guerra.,Q311506,Tervel of Bulgaria,['sovereign'],male,https://en.wikipedia.org/wiki/Tervel_of_Bulgaria
180,Manuela Beltrán was a Neogranadine woman who organized a peasant revolt against excess taxation in 1780.,كانت مانويلا بلتران امرأة من نيوغرانادين نظمت ثورة الفلاحين ضد الضرائب الزائدة في عام 1780.,"Мануэла Бельтран  — новогранадская женщина, организовавшая крестьянское восстание против чрезмерного налогообложения в 1780 году.",Manuela Beltrán fue una Revolucionaria neogranadina que organizó una revuelta campesina contra el exceso de impuestos en 1780.,Q3287000,Manuela Beltrán,['revolutionary'],female,https://en.wikipedia.org/wiki/Manuela_Beltr%C3%A1n
181,"Fusako Shigenobu  is a Japanese communist activist and the former leader and founder of the now disbanded terrorist group, the Japanese Red Army .",فوساكا شيغينوبو ناشطة يسارية يابانية والزعيمة السابقة والمؤسسة للجماعة الإرهابية التي حُلت لاحقاً والمعروفة بالجيش الأحمر الياباني .,Фусако Сигэнобу  — основательница и руководительница уже распущенной милитаризированной коммунистической группы «Красная армия Японии».,"Fusako Shigenobu   es una revolucionaria y terrorista japonesa, fue la exlíder y fundadora de la ya disuelta organización guerrillera Ejército Rojo Japonés.",Q272118,Fusako Shigenobu,['revolutionary'],female,https://en.wikipedia.org/wiki/Fusako_Shigenobu
182,"He was the second of his parents' nine children, six of whom died in infancy.",كان هو الثاني من بين تسعة أطفال لوالديه، توفي منهم ستة في طفولتهم.,"Он был вторым из девяти детей, шестеро из которых умерли в младенчестве.","Era el segundo de los nueve hijos que tuvieron sus padres, de los cuales seis murieron en la infancia.",Q80492,Gavrilo Princip,['revolutionary'],male,https://en.wikipedia.org/wiki/Gavrilo_Princip
183,"Jack Straw  was one of the three leaders  of the Peasants' Revolt of 1381, a major event in the history of England.",جاك سترو ‏‏ كان واحدًا من القادة الثلاثة من ثورة الفلاحين لعام 1381، الحدث الكبير في تاريخ إنجلترا.,"Джек Строу  — один из лидеров крестьянского восстания в Англии в 1381 году, важного события в истории страны.","Jack Straw  fue uno de los tres líderes  de la revuelta campesina de 1381, un acontecimiento importante en la historia de Inglaterra.",Q3157324,Jack Straw,['revolutionary'],male,https://en.wikipedia.org/wiki/Jack_Straw_(rebel_leader)
