,English,Swahili,Wikidata,entity_name,occupation_name,gender,url
641,"He retained their other home in Switzerland, where he died in 2005, aged 87.","Alihifadhi nyumba yao nyingine huko Uswizi, ambapo alifarikia mnamo 2005, akiwa na umri wa miaka 87.",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
642,"In the 1960s, he played the supporting role of Morris Dixon in Present Laughter.","Mnamo miaka ya 1960, alicheza jukumu la kusaidia la Morris Dixon katika Kicheko cha Sasa.",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
643,He first appeared in films as a boy soprano in the same year.,Alionekana kwanza kwenye filamu kama mtoto wa kike katika mwaka huo huo.,Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
644,I know his theatrical career has been a failure but there are other ploys to go after.,Najua kazi yake ya maonyesho imekuwa ya kutofaulu lakini kuna nyayo zingine za kufuata.,Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
645,"Payn's performances were well reviewed, but the shows were unsuccessful.","Maonyesho ya Payn yalipitiwa vizuri, lakini maonyesho hayakufanikiwa.",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
646,"One night, Coward came backstage after the performance.","Usiku mmoja, Coward alirudi nyuma ya jukwaa baada ya onyesho.",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
647,"Payn was born in Pietermaritzburg, South Africa, the son of Francis Dawney Payn and his wife, Sybil, nÃ©e Graham.","Payn alizaliwa huko Pietermaritzburg, Afrika Kusini, mtoto wa Francis Dawney Payn na mkewe, Sybil, nÃ©e Graham.",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
648,Payn volunteered for the army but was discharged on health grounds after a few weeks because of a hernia.,Payn alijitolea kwa jeshi lakini aliondolewa kwa sababu ya afya baada ya wiki chache kwa sababu ya ugonjwa wa ngiri.,Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
649,"He was a generous, uncomplicated man, and he will be missed by his many friends.""","Alikuwa mtu mkarimu, asiye na shida, na atakumbukwa na marafiki wengi.""",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
650,"In 1949, he was in the Borstal drama Boys in Brown, with Dirk Bogarde and Richard Attenborough.","Mnamo 1949, alikuwa kwenye tamthiliya ya Borstal Boys in Brown, akiwa na Dirk Bogarde na Richard Attenborough.",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
651,"In 1988, 15 years after Coward's death, Payn, who ""hadn't the heart to use it again"", gave their Jamaican home, the Firefly Estate, to the Jamaica National Heritage Trust.","Mnamo 1988, miaka 15 baada ya kifo cha Coward, Payn, ambaye ""hakuwa na moyo wa kuitumia tena"", alitoa nyumba yao ya Jamaika, Firefly Estate, kwa Jumba la Urithi la Kitaifa la Jamaica.",Q323990,Graham Payn,autobiographer,male,https://en.wikipedia.org/wiki/Graham_Payn
652,"During his years in power, West Germany achieved democracy, stability, international respect and economic prosperity .","Wakati wa miaka yake madarakani, Ujerumani Magharibi ilipata demokrasia, utulivu, heshima ya kimataifa na ustawi wa kiuchumi .",Q2492,Konrad Adenauer,autobiographer,male,https://en.wikipedia.org/wiki/Konrad_Adenauer
279,"In this role, she supervised business development in Cameroon, the Democratic Republic of the Congo, Ghana, Kenya, Liberia, Mozambique, Tanzania, Uganda, and Zambia.","Alisimamia maendeleo ya kibiashara kwenye nchi za Kameruni, Jamhuri ya Kidemokrasia ya Kongo, Ghana, Kenya, Liberia, Msumbiji, Tanzania, Uganda, na Zambia.",Q6759764,Margaret Mwanakatwe,banker,female,https://en.wikipedia.org/wiki/Margaret_Mwanakatwe
280,"Before that, she served as the managing director and chief executive officer of the United Bank for Africa Uganda Limited from March 2009 until May 2011.",Kabla ya hapo alikuwa mkurugenzi mkuu wa United Bank for Africa Uganda Limited toka Machi 2009 hadi Mei 2011.,Q6759764,Margaret Mwanakatwe,banker,female,https://en.wikipedia.org/wiki/Margaret_Mwanakatwe
281,"She was the director for business development in Anglophone Africa at the United Bank for Africa at the bank's headquarters in Lagos, Nigeria.","Alikuwa mkurugenzi wa maendeleo ya kibiashara kwa nchi zinazozungumza Kiingereza Afrika katika benki ya United Bank for Africa kwenye makao yake makuu Lagos, Nigeria.",Q6759764,Margaret Mwanakatwe,banker,female,https://en.wikipedia.org/wiki/Margaret_Mwanakatwe
282,"She is also a Chartered Certified Accountant, recognized by the Association of Chartered Certified Accountants of London.","Na pia ni mhasibu wa Chartered Certified, anayetambuliwa na Association of Chartered Certified Accountants huko London.",Q6759764,Margaret Mwanakatwe,banker,female,https://en.wikipedia.org/wiki/Margaret_Mwanakatwe
283,"She worked previously as a businesswoman, accountant, and bank executive.","Awali alifanya kazi mbalimbali zikiwemo biashara, uhasibu, na ofisa wa benki.",Q6759764,Margaret Mwanakatwe,banker,female,https://en.wikipedia.org/wiki/Margaret_Mwanakatwe
284,"In 2005, he had his first Serie B job at Pescara.","Mwaka 2005, alikuwa na kazi yake ya kwanza Serie B huko Pescara.",Q3852721,Maurizio Sarri,banker,male,https://en.wikipedia.org/wiki/Maurizio_Sarri
285,Maurizio Sarri  is an Italian professional football manager who is the current manager of Serie A club Lazio.,Maurizio Sarri ni mtaalamu wa soka wa Italia ambaye ni meneja wa klabu ya Serie A Lazio,Q3852721,Maurizio Sarri,banker,male,https://en.wikipedia.org/wiki/Maurizio_Sarri
286,"In 2014, Sarri won promotion to Serie A with Empoli, and after preserving their place in the top flight he was hired by Napoli.","Mwaka 2014, aliweza kupandishwa hadi Serie A pamoja na Empoli, na baada ya kuhifadhi nafasi yao katika ligi kuu aliajiriwa na Napoli.",Q3852721,Maurizio Sarri,banker,male,https://en.wikipedia.org/wiki/Maurizio_Sarri
287,"Sarri did not play football professionally, taking part as an amateur centre back and coach while working as a banker.","Yeye hakuwa mchezaji wa soka kitaaluma, akifanya kazi kama mlinzi wa kati wa amateur na kocha wakati akifanya kazi katika benki",Q3852721,Maurizio Sarri,banker,male,https://en.wikipedia.org/wiki/Maurizio_Sarri
288,"He won several individual awards while managing the Naples-based club; after finishing as league runners-up in 2017â18, Sarri moved to English club Chelsea, where he won the UEFA Europa League in his only season with the club.","Alishinda tuzo kadhaa za binafsi, wakati akifundisha klabu hiyo ya Naples, na baada ya kumaliza nafasi ya pili katika ligi mwaka 2017-18 alihamia Chelsea ambapo alishinda katika ligi ya UEFA Europa ikiwa ni msimu wake pekee katika klabu hiyo",Q3852721,Maurizio Sarri,banker,male,https://en.wikipedia.org/wiki/Maurizio_Sarri
477,"In that role, she succeeded Rebeca Grynspan of Costa Rica.","Katika jukumu hilo, alimrithi Rebeca Grynspan wa Costa Rica.",Q6781994,María Eugenia Casar,banker,female,https://en.wikipedia.org/wiki/Mar%C3%ADa_Eugenia_Casar
478,"As a patron, he is best known for his sponsorship of artists such as Botticelli and Michelangelo.",Anajulikana zaidi kwa ufadhili wake wa wasanii mashuhuri kama vile Sandro Botticelli na Michelangelo Buonarroti.,Q177854,Lorenzo de' Medici,banker,male,https://en.wikipedia.org/wiki/Lorenzo_de%27_Medici
203,She is a trustee of Columbia University and serves as chair and president of the Board of Directors of the National Archives Foundation.,Yeye ni mdhamini wa Chuo Kikuu cha Columbia na anahudumu kama mwenyekiti na rais wa Bodi ya Wakurugenzi ya National Archives Foundation.,Q4646796,A'Lelia Bundles,biographer,female,https://en.wikipedia.org/wiki/A%27Lelia_Bundles
204,James Truslow Adams  was an American writer and historian.,James Truslow Adams alikuwa mwandishi na mwanahistoria kutoka nchi ya Marekani.,Q1681213,James Truslow Adams,biographer,male,https://en.wikipedia.org/wiki/James_Truslow_Adams
389,Matilde was born in Oaxaca to an Indigenous father and a mother of Spanish descent.,Frieda alizaliwa huko Oaxaca na baba Mjerumani aliyehamia Mexiko na mama mwenye asili ya Kiindio.,Q5588,Frida Kahlo,biographer,female,https://en.wikipedia.org/wiki/Frida_Kahlo
390,"In 1939, he was awarded the Pulitzer Prize for Biography or Autobiography for Benjamin Franklin.","Mwaka wa 1939, alipokea Tuzo ya Pulitzer ya Wasifu kwa wasifu yake ya Benjamin Franklin.",Q5039991,Carl Clinton Van Doren,biographer,male,https://en.wikipedia.org/wiki/Carl_Van_Doren
38,In an interview with The Independent.,Katika mahojiano na The Independent.,Q90815782,Ridhima Pandey,climate activist,female,https://en.wikipedia.org/wiki/Ridhima_Pandey
39,"During the summit, on 23 September 2019.","Wakati wa mkutano huo, tarehe 23 Septemba 2019.",Q90815782,Ridhima Pandey,climate activist,female,https://en.wikipedia.org/wiki/Ridhima_Pandey
40,I want to save our future.,Nataka kuokoa maisha yetu ya baadaye.,Q90815782,Ridhima Pandey,climate activist,female,https://en.wikipedia.org/wiki/Ridhima_Pandey
41,"In 2013, over 1000 people died in floods and landslides.","Mnamo 2013, zaidi ya watu 1000 walifariki katika mafuriko na maporomoko ya ardhi.",Q90815782,Ridhima Pandey,climate activist,female,https://en.wikipedia.org/wiki/Ridhima_Pandey
42,I want to save the future of all the children and all people of future generationsâ,Ninataka kuokoa maisha ya baadaye ya watoto wote na watu wote wa vizazi vijavyo.â,Q90815782,Ridhima Pandey,climate activist,female,https://en.wikipedia.org/wiki/Ridhima_Pandey
43,Her major goal is to see the enforcement of current climate legislation  and to attract more coverage of issues of climate change.,Lengo lake kuu ni kuona utekelezaji wa sheria ya hali ya hewa ya sasa na kuvutia habari zaidi za mabadiliko ya hali ya hewa.,Q88676023,Leah Namugerwa,climate activist,female,https://en.wikipedia.org/wiki/Leah_Namugerwa
44,He was a delegate at the 2019 United Nations Youth Climate Summit.,Alikuwa mjumbe katika Mkutano wa Vijana wa Umoja wa Mataifa wa Hali ya Hewa wa 2019.,Q106385823,Bruno Rodriguez,climate activist,male,https://en.wikipedia.org/wiki/Bruno_Rodriguez_(activist)
45,Bruno Rodriguez is an Argentine climate activist.,Bruno Rodriguez ni mwanaharakati wa hali ya hewa kutoka Argentina.,Q106385823,Bruno Rodriguez,climate activist,male,https://en.wikipedia.org/wiki/Bruno_Rodriguez_(activist)
46,He is leader of the Fridays for Future Movement in Argentina.,Ndiye kiongozi wa Fridays for Future huko Argentina.,Q106385823,Bruno Rodriguez,climate activist,male,https://en.wikipedia.org/wiki/Bruno_Rodriguez_(activist)
47,"As of 2021, Artis was Acting Policy Director of Zero Hour.","Kuanzia 2021, Artis alikuwa Kaimu Mkurugenzi wa Sera wa Zero Hour.",Q106385863,Zanagee Artis,climate activist,male,https://en.wikipedia.org/wiki/Zanagee_Artis
48,Zanagee Artis  is an American climate activist.,Zanagee Artis ni mwanaharakati wa hali ya hewa kutoka Marekani.,Q106385863,Zanagee Artis,climate activist,male,https://en.wikipedia.org/wiki/Zanagee_Artis
49,He is best known for co-founding the youth-led climate activist group Zero Hour in 2017.,Anajulikana sana kwa kushirikiana kuanzisha kikundi cha wanaharakati wa hali ya hewa kinachoongozwa na vijana cha Zero Hour mnamo 2017.,Q106385863,Zanagee Artis,climate activist,male,https://en.wikipedia.org/wiki/Zanagee_Artis
584,Sharon Olds  is an American poet.,Sharon Olds ni mshairi wa kike kutoka nchi ya Marekani.,Q3180469,Sharon Olds,climate activist,female,https://en.wikipedia.org/wiki/Sharon_Olds
585,It also won the Pulitzer Prize for Poetry.,Mwaka wa 2013 alipokea Tuzo ya Pulitzer ya Ushairi.,Q3180469,Sharon Olds,climate activist,female,https://en.wikipedia.org/wiki/Sharon_Olds
586,"On January 21, 2009, Chu was sworn in as Secretary of Energy in the Barack Obama administration.",Tarehe 21 Januari 2009 ameteuliwa kuwa Waziri wa Nishati katika serikali ya Rais Barack Obama.,Q172466,Steven Chu,climate activist,male,https://en.wikipedia.org/wiki/Steven_Chu
587,Steven Chu FREng ForMemRS HonFInstP  is an American physicist and government official.,Steven Chu ni mwanafizikia kutoka nchi ya Marekani akiwa na asili ya Kichina.,Q172466,Steven Chu,climate activist,male,https://en.wikipedia.org/wiki/Steven_Chu
556,"Lady Anne Barnard  was a Scottish travel writer, artist and socialite, and the author of the ballad Auld Robin Gray.",Lady Anne Barnard alikuwa mwandishi wa Uskoti.,Q3510181,Lady Anne Barnard,drawer,female,https://en.wikipedia.org/wiki/Lady_Anne_Barnard
557,"He is sometimes referred to as ""Peasant Bruegel"", to distinguish him from the many later painters in his family, including his son Pieter Brueghel the Younger .","Anaitwa ""Brueghel Mzee"" ili kumtofautisha na mwanawe Pieter Brueghel Kijana aliyekuwa mchoraji mashuhuri pia.",Q43270,Pieter Brueghel the Elder,drawer,male,https://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder
348,Van Duyn was a friend of poet James Merrill and instrumental in securing his papers for the Washington University Special Collections in the mid 1960s.,Mona Jane Van Duyn alikuwa mshairi wa kike kutoka nchi ya Marekani.,Q6897736,Mona Van Duyn,editor,female,https://en.wikipedia.org/wiki/Mona_Van_Duyn
349,"Since then she has divided her time between England, Canada, and South Africa.","Tangu wakati huo amegawanya wakati wake kati ya Uingereza, Canada na Afrika Kusini.",Q24006449,Jeni Couzyn,editor,female,https://en.wikipedia.org/wiki/Jeni_Couzyn
350,"Agar won the Pulitzer Prize for History in 1934 for his 1933 book The People's Choice, a critical look at the American presidency.","Mwaka wa 1934, alipokea Tuzo ya Pulitzer ya Historia kwa kitabu chake The People's Choice.",Q3785131,Herbert Agar,editor,male,https://en.wikipedia.org/wiki/Herbert_Agar
351,"For his pioneering work on lasers and masers, in 1964, he received the Nobel Prize in Physics shared with Nikolay Basov and Charles Hard Townes.","Mwaka wa 1964, pamoja na Nikolai Basov na Charles Townes alikuwa mshindi wa Tuzo ya Nobel ya Fizikia.",Q83552,Alexander Prokhorov,editor,male,https://en.wikipedia.org/wiki/Alexander_Prokhorov
50,"She was awarded the Goldman Environmental Prize in 1993, jointly with Garth Owen-Smith, for their efforts on conservation of wildlife in rural Namibia.","Alipewa Tuzo ya Mazingira ya Goldman mnamo 1993, pamoja na Garth Owen-Smith, kwa juhudi zao juu ya uhifadhi wa wanyamapori vijijini huko Namibia.",Q6759553,Margaret Jacobsohn,environmentalist,female,https://en.wikipedia.org/wiki/Margaret_Jacobsohn
51,Soon other students engaged in similar protests in their own communities.,Punde wanafunzi wengine walifanya maandamano kama hayo katika jamii zao.,Q56434717,Greta Thunberg,environmentalist,female,https://en.wikipedia.org/wiki/Greta_Thunberg
52,"Her influence on the world stage has been described by The Guardian and other newspapers as the ""Greta effect"".","Ushawishi wake ulimwenguni umeelezewa na The Guardian na magazeti mengine kama ""Greta effect"".",Q56434717,Greta Thunberg,environmentalist,female,https://en.wikipedia.org/wiki/Greta_Thunberg
53,She studied at Towson University.,Alisoma katika Chuo Kikuu cha Towson.,Q23893874,Destiny Watford,environmentalist,female,https://en.wikipedia.org/wiki/Destiny_Watford
54,Manana Kochladze  is a Georgian biologist and environmentalist.,Manana Kochladze ni mwanamazingira na mtaalamu wa biolojia kutoka Georgia.,Q6746885,Manana Kochladze,environmentalist,female,https://en.wikipedia.org/wiki/Manana_Kochladze
55,"He was awarded the Goldman Environmental Prize in 1992, for his contribution to environment policy in Brazil.","Alipewa Tuzo ya Mazingira ya Goldman mnamo 1992, kwa mchango wake katika sera ya mazingira nchini Brazil.",Q5041700,Carlos Alberto Ricardo,environmentalist,male,https://en.wikipedia.org/wiki/Carlos_Alberto_Ricardo
56,He was awarded the Goldman Environmental Prize in 2010.,Alipewa Tuzo ya Mazingira ya Goldman mnamo 2010.,Q7857228,Tuy Sereivathana,environmentalist,male,https://en.wikipedia.org/wiki/Tuy_Sereivathana
57,"In 2011, he was selected as a member of National Geographic's Emerging Explorer Program.","Mnamo 2011, alichaguliwa kama mshiriki wa programu ya National Geographic's Emerging Explorer Program.",Q7857228,Tuy Sereivathana,environmentalist,male,https://en.wikipedia.org/wiki/Tuy_Sereivathana
58,"He received the Goldman Environmental Prize in 1999, for his contribution to marine conservation in the Gulf of Fonseca.","Alipokea Tuzo ya Mazingira ya Goldman mnamo 1999, kwa mchango wake katika uhifadhi wa bahari katika Ghuba ya Fonseca.",Q6278719,Jorge Varela,environmentalist,male,https://en.wikipedia.org/wiki/Jorge_Varela_(environmentalist)
117,"She was awarded the Goldman Environmental Prize in 1994, for her works to protect the rainforests.","Alipewa Tuzo ya Mazingira ya Goldman mnamo 1994, kwa kazi zake za kuhifadhi misitu ya mvua.",Q5698224,Heffa Schücking,environmentalist,female,https://en.wikipedia.org/wiki/Heffa_Sch%C3%BCcking
118,This biographical article about a German activist is a stub.,Makala hii y wasifu ya mwanaharakati kutoka Ujerumani ni fupi,Q5698224,Heffa Schücking,environmentalist,female,https://en.wikipedia.org/wiki/Heffa_Sch%C3%BCcking
119,"She started the movement ""Polluters Out"" along with other 150 environmental activists, on January 24, 2020.","Alianzisha harakati Polluters Out pamoja na wanaharakati wengine wa mazingira 150, mnamo 24 Januari 2020.",Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
120,Several leaders members of her community have lost their life in violent conflicts against the government and corporations.,Viongozi kadhaa wa jamii yake wamepoteza maisha yao katika mizozo kali dhidi ya serikali na mashirika.,Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
121,"She said: ""Our country's government is still granting our territories to the corporations responsible of climate change.","Alisema: ""Serikali ya nchi yetu bado inatoa maeneo yetu kwa mashirika yanayohusika na mabadiliko ya hali ya hewa.",Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
122,"She and her family describe numerous ways in which they, as members of indigenous communities in the Amazon, have experienced climate change, including a higher prevalence of forest fires, desertification, direct destruction and disease spread by floods, and faster melting snow on mountain peaks.","Yeye na familia yake wanaelezea njia kadhaa ambazo wao, kama washiriki wa jamii za asili huko Amazon, wamepata mabadiliko ya hali ya hewa, pamoja na kuenea kwa moto wa misitu, kuenea kwa jangwa, uharibifu wa moja kwa moja na magonjwa yanayoenezwa na mafuriko, na theluji inayoyeyuka haraka juu ya vilele vya milima.",Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
123,"She spent most of her teenage years living in Pargas and later in Turku, Finland where her father comes from.","Alitumia sehemu kubwa ya miaka yake ya ujana akiishi Pargas na baadaye huko Turku, Finland alikotokea baba yake.",Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
125,"These effects, she says, have been noticeable firsthand in the lifetimes of community elders.","Athari hizi, anasema, zimeonekana kwake mwenyewe wakati wa maisha ya wazee wa jamii.",Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
126,She criticized the Ecuadorian government for claiming interest in protecting the Amazon during the conference instead of attending indigenous Amazon women's demands brought to the government during the 2019 Ecuadorian protests.,Aliikosoa serikali ya Ekuador kwa kudai nia ya kulinda Amazon wakati wa mkutano badala ya kushughulikia madai ya wanawake asili wa Amazon walioletea serikali wakati wa maandamano ya 2019,Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
127,She also actively exposes this message to the international community hoping to reach policy-makers.,Yeye pia anafichua ujumbe huu kwa jamii ya kimataifa akitarajia utawifikia watunga sera.,Q78185644,Helena Gualinga,environmentalist,female,https://en.wikipedia.org/wiki/Helena_Gualinga
128,"In particular, the complaint alleges that five countries, namely Argentina, Brazil, France, Germany, and Turkey, have failed to live up to their Paris Agreement pledges.","Hasa, malalamiko hayo yanadai kwamba nchi tano, ambazo ni Argentina, Brazil, Ufaransa, Ujerumani, na Uturuki, zimeshindwa kutekeleza ahadi zao za Mkataba wa Paris.",Q70278140,Catarina Lorenzo,environmentalist,female,https://en.wikipedia.org/wiki/Catarina_Lorenzo
129,"The case was dismissed by a King County Superior Court judge, who ruled the case to be political one that must be resolved by the Governor and the legislature.","Kesi hiyo ilifutwa na jaji wa mahakama kuu ya King County, ambaye aliamua kesi hiyo kuwa ya kisiasa ambayo inapaswa kutatuliwa na Gavana na bunge.",Q64748293,Jamie Margolin,environmentalist,female,https://en.wikipedia.org/wiki/Jamie_Margolin
130,"In 1986, he was awarded the Right Livelihood Award for ""organising to protect the rights of the Indians of the Amazon basin.""","Mnamo 1986, alipewa tuzo ya Right Livelihood Award kwa ""kuandaa kulinda haki za Wahindi wa bonde la Amazon.""",Q1381547,Evaristo Nugkuag,environmentalist,male,https://en.wikipedia.org/wiki/Evaristo_Nugkuag
131,Evaristo Nugkuag Ikanan  is a Peruvian activist for environmental and indigenous people causes.,Evaristo Nugkuag Ikanan ni mwanaharakati wa sababu za mazingira na asilia kutoka Peru.,Q1381547,Evaristo Nugkuag,environmentalist,male,https://en.wikipedia.org/wiki/Evaristo_Nugkuag
132,In 2011 his house was firebombed for his advocacy.,Mnamo 2011 nyumba yake ilipigwa moto kwa utetezi wake.,Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
133,Desmond D'Sa is a South African environmentalist who received the 2014 Goldman Prize.,Desmond D'Sa ni mwanamazingira kutoka Afrika Kusini ambaye alipokea Tuzo ya Mazingira ya Goldman ya 2014.,Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
134,For his work he received an honorary doctorate from the Durban University of Technology.,Kwa kazi yake alipata udaktari wa heshima kutoka Chuo Kikuu cha Teknolojia cha Durban.,Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
135,To address this he founded the South Durban Community Environmental Alliance.,Ili kushughulikia hili alianzisha South Durban Community Environmental Alliance.,Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
136,"He is known for protesting Environmental justice issues in Durban, South Africa related to access to greenspace and pollution.","Anajulikana kwa kupigania maswala ya haki za Mazingira huko Durban, Afrika Kusini yanayohusiana na upatikanaji wa nafasi ya kijani na uchafuzi wa mazingira.",Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
137,"That network has been successful at opposing other polluting sites, and is advocated to prevent expansion of the Port of Durban.","Mtandao huo umefanikiwa kupinga maeneo mengine yanayochafua mazingira, na ulitetea kuzuia upanuzi wa bandari ya Durban.",Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
138,"Raised in the Apartheid era, he was inspired to integrate environmental and social justice issues in his activism.","Alilelewa katika enzi ya ubaguzi wa rangi, aliongozwa kuingiza maswala ya haki za mazingira na kijamii katika harakati zake.",Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
139,"The region of the city where he lives is known as a ""Cancer Alley"" because of the 300+ industrial facilitates in the area.",Sehemu ya jiji anayoishi inajulikana kama Cancer Alley kwa sababu ya viwanda zaidi ya 300 katika eneo hilo,Q19862412,Desmond D'Sa,environmentalist,male,https://en.wikipedia.org/wiki/Desmond_D%27Sa
140,He received the Goldman Environmental Prize in 1992 for his efforts to protect the mangrove forests of the country.,Alipokea Tuzo ya Mazingira ya Goldman mnamo 1992 kwa juhudi zake za kulinda misitu ya mikoko ya nchi.,Q7959292,Wadja Egnankou,environmentalist,male,https://en.wikipedia.org/wiki/Wadja_Egnankou
141,"Wadja Egnankou is a scientist from CÃ´te d'Ivoire, a researcher at the University of Abidjan.",Wadja Egnankou ni mwanasayansi kutoka Cote d'Ivoire na mtafiti katika Chuo Kikuu cha Abidjan.,Q7959292,Wadja Egnankou,environmentalist,male,https://en.wikipedia.org/wiki/Wadja_Egnankou
142,"He was awarded the Goldman Environmental Prize in 2008, for his efforts on a sustainable development of agriculture in the Mixtec region of the state of Oaxaca.","Alipewa Tuzo ya Mazingira ya Goldman mnamo 2008, kwa juhudi zake juu ya maendeleo endelevu ya kilimo katika mkoa wa Mixtec katika jimbo la Oaxaca.",Q6188509,Jesús León Santos,environmentalist,male,https://en.wikipedia.org/wiki/Jes%C3%BAs_Le%C3%B3n_Santos
289,Her goal is to one day work for the United Nations.,Lengo lake ni siku moja kufanya kazi Umoja wa Mataifa.,Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
290,"On December 1, 2020, she was named by Seventeen magazine as one of their 2020 Voices of the Year.","Mnamo 1 Desemba 2020, alitajwa na jarida la Seventeen kama mmoja wa sauti zao wa mwaka 2020 .",Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
291,The family moved from northern California to New York during 2018.,Familia ilihama kutoka kaskazini mwa California kwenda New York mwaka 2018.,Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
292,"In mid-October 2019, she attended the C40 World Mayors Summit in Copenhagen, Denmark.","Katikati ya Oktoba 2019, alihudhuria mkutano wa C40 World Mayors Summit huko Copenhagen, Denmark.",Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
293,"On September 23, 2019, VillaseÃ±or, along with 15 other youth activists including Greta Thunberg, Catarina Lorenzo, and Carl Smith, filed a legal complaint with the United Nations accusing five countries, namely France, Germany, Brazil, Argentina, and Turkey of failing to uphold their reduction targets to which they committed in their Paris Agreement pledges.","Mnamo 23 Septemba 2019, VillaseÃ±or, pamoja na wanaharakati wengine 15 wa vijana pamoja na Greta Thunberg, Catarina Lorenzo, na Carl Smith, waliwasilisha malalamiko ya kisheria kwa Umoja wa Mataifa wakituhumu nchi tano, ambazo ni Ufaransa, Ujerumani, Brazil, Argentina, na Uturuki kwa kushindwa kutekeleza malengo yao ya kupunguza ambayo walifanya katika ahadi zao za Mapatano ya Paris kuhusu Tabianchi.",Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
294,"Soon afterward, she joined New York's chapter of Zero Hour, a group of American youth climate activists.","Hivi karibuni baadaye, alijiunga na New York's chapter of Zero Hour, kikundi cha wanaharakati wa hali ya hewa cha vijana wa Marekani.",Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
295,"On August 19, 2020, Alexandria addressed the Democratic National Convention as part of their segment on climate change.","Mnamo 19 Agosti 2020, Alexandria alihutubia mkutano wa kitaifa wa Democratic National Convention kama sehemu ya kipengele chao cha mabadiliko ya tabianchi.",Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
296,"In May 2019, VillaseÃ±or was the recipient of the Disruptor Award from the Tribeca Disruptive Innovation Awards , received a scholarship from The Common Good public advocacy organization, and was awarded a Youth Climate Leadership prize from Earth Day Network.","Mnamo Mei 2019, VillaseÃ±or alikuwa mpokeaji wa tuzo ya Disruptor Award kutoka kwa Tribeca Disruptive Innovation Awards , alipokea udhamini wa shirika la The Common Good advocacy organizationna alipewa tuzo ya uongozi wa hali ya hewa kwa vijana Youth Climate Leadership prize kutoka Earth Day Network.",Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
297,Alexandria VillaseÃ±or  is an American climate activist living in New York.,"Alexandria VillaseÃ±or ni mwanaharakati wa hali ya hewa kutoka New York, Marekani .",Q61748080,Alexandria Villaseñor,environmentalist,female,https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or
